city_ascii,country,lat,lng
Vijayawada,India,16.5193,80.6305
Perm,Russia,58.0139,56.2489
Fangchenggang,China,21.6,108.3
Changwon,South Korea,35.2708,128.6631
Shouguang,China,36.8833,118.7333
Cartagena,Colombia,10.4,-75.5
Memphis,United States,35.1087,-89.9663
Jodhpur,India,26.28,73.02
Matola,Mozambique,-25.9667,32.4667
Ogbomoso,Nigeria,8.1333,4.25
Sanya,China,18.2533,109.5036
Rangapukur,Bangladesh,25.56,89.25
Bogor,Indonesia,-6.5966,106.7972
Wutong,China,30.6326,120.5474
Linhai,China,28.8523,121.1409
Managua,Nicaragua,12.1544,-86.2738
Shymkent,Kazakhstan,42.3167,69.5958
Denizli,Turkey,37.7667,29.0833
Niamey,Niger,13.515,2.1175
Shubra al Khaymah,Egypt,30.1286,31.2422
Maceio,Brazil,-9.6658,-35.735
Wafangdian,China,39.6271,121.9972
Louisville,United States,38.1663,-85.6485
Zhongxiang,China,31.169,112.5853
Monrovia,Liberia,6.3133,-10.8014
Odesa,Ukraine,46.4775,30.7326
Volgograd,Russia,48.7086,44.5147
Islamabad,Pakistan,33.6931,73.0639
Xinyi,China,22.3559,110.9369
Thu Duc,Vietnam,10.8266,106.7609
Raipur,India,21.25,81.63
Arequipa,Peru,-16.4,-71.5333
Richmond,United States,37.5295,-77.4756
Zaoyang,China,32.1287,112.7581
Buffalo,United States,42.9018,-78.8487
Xingyi,China,25.091,104.9011
Shuizhai,China,33.4433,114.8994
Kota,India,25.18,75.83
Quetta,Pakistan,30.1833,67.0
Tirana,Albania,41.3289,19.8178
Pago Pago,American Samoa,-14.274,-170.7046
Andorra la Vella,Andorra,42.5,1.5
Saint John's,Antigua and Barbuda,17.1167,-61.85
Oranjestad,Aruba,12.5186,-70.0358
Manama,Bahrain,26.225,50.5775
Bridgetown,Barbados,13.0975,-59.6167
Belize City,Belize,17.4986,-88.1886
Cotonou,Benin,6.3667,2.4333
Hamilton,Bermuda,32.2942,-64.7839
Thimphu,Bhutan,27.4722,89.6361
Kralendijk,"Bonaire, Sint Eustatius, and Saba",12.1444,-68.2656
Sarajevo,Bosnia and Herzegovina,43.8564,18.4131
Gaborone,Botswana,-24.6581,25.9122
Road Town,British Virgin Islands,18.4167,-64.6167
Bandar Seri Begawan,Brunei,4.8903,114.9422
Praia,Cabo Verde,14.918,-23.509
George Town,Cayman Islands,19.2866,-81.3744
Bangui,Central African Republic,4.3733,18.5628
Moroni,Comoros,-11.699,43.256
Avarua,Cook Islands,-21.207,-159.771
San Jose,Costa Rica,9.9325,-84.08
Zagreb,Croatia,45.8167,15.9833
Willemstad,Curaçao,12.108,-68.935
Nicosia,Cyprus,35.1725,33.365
Djibouti,Djibouti,11.5883,43.145
Roseau,Dominica,15.3014,-61.3883
San Salvador,El Salvador,13.6989,-89.1914
Bata,Equatorial Guinea,1.865,9.77
Asmara,Eritrea,15.3228,38.925
Tallinn,Estonia,59.4372,24.7453
Stanley,Falkland Islands (Islas Malvinas),-51.7,-57.85
Torshavn,Faroe Islands,62.0,-6.7833
Palikir,Federated States of Micronesia,6.9178,158.185
Suva,Fiji,-18.1416,178.4419
Cayenne,French Guiana,4.933,-52.33
Papeete,French Polynesia,-17.5334,-149.5667
Libreville,Gabon,0.3903,9.4542
Gaza,Gaza Strip,31.5069,34.456
Gibraltar,Gibraltar,36.1333,-5.35
Nuuk,Greenland,64.1814,-51.6942
Saint David's,Grenada,12.0444,-61.6806
Pointe-a-Pitre,Guadeloupe,16.2411,-61.5331
Maina,Guam,13.4692,144.7332
Bissau,Guinea-Bissau,11.85,-15.5667
Georgetown,Guyana,6.8058,-58.1508
Port-au-Prince,Haiti,18.5333,-72.3333
Reykjavik,Iceland,64.1467,-21.94
Douglas,Isle Of Man,54.145,-4.482
Kingston,Jamaica,17.9714,-76.7931
Saint Helier,Jersey,49.1858,-2.11
Tarawa,Kiribati,1.3382,173.0176
Pristina,Kosovo,42.6633,21.1622
Vientiane,Laos,17.9667,102.6
Riga,Latvia,56.9489,24.1064
Tripoli,Lebanon,34.4367,35.8344
Maseru,Lesotho,-29.31,27.48
Schaan,Liechtenstein,47.1667,9.5097
Vilnius,Lithuania,54.6872,25.28
Luxembourg,Luxembourg,49.6117,6.1319
Macau,Macau,22.2006,113.5461
Skopje,Macedonia,41.9961,21.4317
Male,Maldives,4.1753,73.5089
Valletta,Malta,35.8983,14.5125
Majuro,Marshall Islands,7.0833,171.3833
Fort-de-France,Martinique,14.6,-61.0667
Curepipe,Mauritius,-20.3188,57.5263
Mamoudzou,Mayotte,-12.7794,45.2272
Chisinau,Moldova,47.0228,28.8353
Monaco,Monaco,43.7333,7.4167
Podgorica,Montenegro,42.4413,19.2629
Brades,Montserrat,16.7928,-62.2106
Windhoek,Namibia,-22.57,17.0836
Kathmandu,Nepal,27.7172,85.324
Noumea,New Caledonia,-22.2758,166.458
Alofi,Niue,-19.056,-169.921
Capitol Hill,Northern Mariana Islands,15.2137,145.7546
Koror,Palau,7.3419,134.4792
Port Moresby,Papua New Guinea,-9.4789,147.1494
Asuncion,Paraguay,-25.3,-57.6333
Saint-Denis,Reunion,-20.8789,55.4481
Jamestown,"Saint Helena, Ascension, and Tristan da Cunha",-15.9251,-5.7179
Basseterre,Saint Kitts and Nevis,17.3,-62.7333
Castries,Saint Lucia,14.0167,-60.9833
Marigot,Saint Martin,18.0706,-63.0847
Kingstown,Saint Vincent and the Grenadines,13.1578,-61.225
Apia,Samoa,-13.8333,-171.75
Serravalle,San Marino,43.9694,12.4784
Sao Tome,Sao Tome and Principe,0.3361,6.7306
Victoria,Seychelles,-4.6167,55.45
Freetown,Sierra Leone,8.4844,-13.2344
Philipsburg,Sint Maarten,18.0237,-63.0458
Bratislava,Slovakia,48.1439,17.1097
Ljubljana,Slovenia,46.0514,14.5061
Honiara,Solomon Islands,-9.4319,159.9556
Grytviken,South Georgia and South Sandwich Islands,-54.2806,-36.508
Juba,South Sudan,4.85,31.6
Paramaribo,Suriname,5.8522,-55.2039
Manzini,Swaziland,-26.4833,31.3667
Zurich,Switzerland,47.3744,8.5411
Dushanbe,Tajikistan,38.5367,68.78
Nassau,The Bahamas,25.0781,-77.3386
Banjul,The Gambia,13.4531,-16.5775
Dili,Timor-Leste,-8.5536,125.5783
Lome,Togo,6.1319,1.2228
Nuku`alofa,Tonga,-21.1333,-175.2
Chaguanas,Trinidad and Tobago,10.5167,-61.4
Ashgabat,Turkmenistan,37.95,58.3833
Grand Turk,Turks and Caicos Islands,21.4664,-71.136
Funafuti,Tuvalu,-8.5167,179.2
Port-Vila,Vanuatu,-17.7333,168.3167
Vatican City,Vatican City,41.904,12.453
Hebron,West Bank,31.5333,35.095
Glasgow,United Kingdom,55.8611,-4.25
Edinburgh,United Kingdom,55.9533,-3.1892
Dundee,United Kingdom,56.462,-2.9707
Aberdeen,United Kingdom,57.15,-2.11
Inverness,United Kingdom,57.4778,-4.2247
Elgin,United Kingdom,57.65,-3.315
Heidelberg,Germany,49.4167,8.7167
Dortmund,Germany,51.5167,7.4667
Urbana,United States,40.1107,-88.1973
Champaign,United States,40.1142,-88.2737
Carbondale,United States,37.7221,-89.2237
Ithaca,United States,42.4442,-76.5032
